"","ï..Organization","Type","Loation","Website","Twitter","Facebook","People","Likely.Inactive","Last.Mode","OrgCity","lon","lat","type","loctype","address","north","south","east","west"
"11","Fridays for Future India","","","","","","","","9/1/2020 4:00pm","Fridays for Future India , ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Let India Breathe","","","","","","","","9/1/2020 4:00pm","Let India Breathe , ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Anti Pollution Drive Foundation (APD)  ","Public Engagement & Awareness","Mangaluru","https://antipollution.org/","","","","","9/1/2020 3:37pm","Anti Pollution Drive Foundation (APD)   , Mangaluru",74.8450546,12.869948,"establishment","rooftop","2nd floor, city light building, hampankatta, mangalore, karnataka 575001, india",12.8712969802915,12.8685990197085,74.8464035802915,74.8437056197085
"14","APD Foundation","Public Engagement & Awareness, Advocacy","","https://antipollution.org/our-mission/","","https://www.facebook.com/antipollutiondrive","","","8/17/2019 2:36am","APD Foundation , ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","AQI India","Open data, Public Engagement & Awareness","","https://www.aqi.in/","https://twitter.com/AQI_India","https://www.facebook.com/aqiindia/","","","8/17/2019 1:54am","AQI India , ",77.1098628,28.7199897,"establishment","geometric_center","crown heights, 706, 7th floor, swarn jayanti park, sector 10, rohini, new delhi, delhi 110085, india",28.7213386802915,28.7186407197085,77.1112117802915,77.1085138197085
"16","Asar","Public Engagement & Awareness, Advocacy","Delhi","http://asar.co.in","","","Brikesh Singh","","9/1/2020 3:02pm","Asar , Delhi",77.2801586,28.6314182,"establishment","rooftop","106, 1st floor, 19b, veer savarkar block, block a, shakarpur, delhi, 110092, india",28.6327671802915,28.6300692197085,77.2815075802915,77.2788096197085
"17","Asian Development Research Institute (ADRI)","Research, Non Profit","","https://www.adriindia.org/","https://twitter.com/ADRIPatna","https://www.facebook.com/AsianDevelopmentResearchInstitute","","","8/17/2019 2:38am","Asian Development Research Institute (ADRI) , ",85.1090294,25.6211452,"establishment","geometric_center","bsidc colony, dr rameshwar dayal ln, north sri krishna puri, patna, bihar 800013, india",25.6224941802915,25.6197962197085,85.1103783802915,85.1076804197085
"18","Awaaz Foundation","","","","","","","","9/1/2020 3:29pm","Awaaz Foundation , ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Azim Premji Philanthropic Initiatives","Foundation","Bengaluru","","","","","checked","9/1/2020 3:07pm","Azim Premji Philanthropic Initiatives , Bengaluru",77.685582,12.915238,"establishment","geometric_center","#134 doddakannelli,, sarjapur road, next to wipro corporate office, kaikondrahalli, bengaluru, karnataka 560035, india",12.9165869802915,12.9138890197085,77.6869309802915,77.6842330197085
"20","Bloomberg Philanthropies","International, Foundation","","https://www.bloomberg.org/","https://twitter.com/bloombergdotorg","https://www.facebook.com/bloombergdotorg","Puja Tewary, Priya Shankar","","8/28/2019 7:14pm","Bloomberg Philanthropies , ",-73.9627734,40.7758431,"establishment","rooftop","25 e 78th st, new york, ny 10075, usa",40.7771920802915,40.7744941197085,-73.9614244197085,-73.9641223802915
"21","Blue Sky Analytics ","Public Engagement & Awareness, Open data, Start-up, Industry","Gurugram","https://breezo.in/","","","","","9/1/2020 3:02pm","Blue Sky Analytics  , Gurugram",77.1017823,28.4715949,"establishment","rooftop","basement b 7, 2, dlf phase 1, sector 26a, gurugram, haryana 122002, india",28.4729438802915,28.4702459197085,77.1031312802915,77.1004333197085
"22","BreathEasy Labs","Industry","","https://breatheeasylabs.com/","https://twitter.com/BreatheEasyLabs","https://www.facebook.com/breatheeasylabs/","","","","BreathEasy Labs , ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Brookings India ","Policy","Delhi","https://www.brookings.edu/center/brookings-india/","https://twitter.com/BrookingsInst","https://www.facebook.com/brookings","","","9/1/2020 3:10pm","Brookings India  , Delhi",77.1797437,28.595916,"establishment","geometric_center","no.6, 2nd floor, doctor jose p rizal marg, chanakyapuri, new delhi, delhi 110021, india",28.5972649802915,28.5945670197085,77.1810926802915,77.1783947197085
"24","Care for Air India","Community, Education, Public Engagement & Awareness","Delhi","http://www.careforair.org","https://twitter.com/CareForAirIndia","https://www.facebook.com/careforairindia/?fref=tsfacebook.com","Jyoti Pande ","","9/1/2020 3:10pm","Care for Air India , Delhi",77.2063317,28.6114524,"establishment","geometric_center","dara shikoh rd, vijay chowk area, central secretariat, new delhi, delhi 110004, india",28.6128013802915,28.6101034197085,77.2076806802915,77.2049827197085
"25","Center for Research on Energy and Clean Air (CREA)","Policy, Advocacy","","https://energyandcleanair.org/","https://twitter.com/CREACleanAir","","Sunil Dahiya","","9/1/2020 3:13pm","Center for Research on Energy and Clean Air (CREA) , ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Center for Study on Science, Technology and Policy (CSTEP)","Policy, Non Profit, Research, Consulting","Bengaluru","http://www.cstep.in","https://twitter.com/CSTEPBangalore","","Pratima Singh","","9/1/2020 3:10pm","Center for Study on Science, Technology and Policy (CSTEP) , Bengaluru",77.5795801,13.0484607,"establishment","rooftop","no.18, mayura street, 10th, cross, papanna layout, nagashetty halli, r.m.v. 2nd stage, bengaluru, karnataka 560094, india",13.0498096802915,13.0471117197085,77.5809290802915,77.5782311197085
"27","Center of Excellence for Research on Clean Air (CERCA), IIT-Delhi","Research, Government","Delhi","http://www.iitd.ac.in/content/center-excellence-research-clean-air","","","Sagnik Dey","","9/1/2020 3:10pm","Center of Excellence for Research on Clean Air (CERCA), IIT-Delhi , Delhi",77.1906692,28.54686,"establishment","geometric_center","hauz khas, new delhi, delhi 110016, india",28.5482089802915,28.5455110197085,77.1920181802915,77.1893202197085
"28","Central Pollution Control Board (CPCB) ","Government","Delhi","http://cpcb.nic.in/","","","","","9/1/2020 3:10pm","Central Pollution Control Board (CPCB)  , Delhi",77.2946421,28.6557087,"car_repair","geometric_center","unnamed road, east arjun nagar, vishwas nagar extension, vishwas nagar, shahdara, delhi, 110032, india",28.6570576802915,28.6543597197085,77.2959910802915,77.2932931197085
"29","Central Road Research Institute (CRRI)","Government, Research","Delhi","http://www.crridom.gov.in","https://twitter.com/CSIRCRRI","https://www.facebook.com/CSIR.CRRI.INDIA/","","","9/1/2020 3:10pm","Central Road Research Institute (CRRI) , Delhi",77.2750344,28.5517202,"establishment","geometric_center","mathura rd, crri, sukhdev vihar, jasola, new delhi, delhi 110025, india",28.5530691802915,28.5503712197085,77.2763833802915,77.2736854197085
"30","Centre for Chronic Disease Control (CCDC)","Research, Public Engagement & Awareness","Delhi","http://www.ccdcindia.org/","","","","","9/1/2020 3:13pm","Centre for Chronic Disease Control (CCDC) , Delhi",77.2015695,28.5530178,"establishment","geometric_center","c-1/52, 2nd fl, safdarjung development area, block c 1, bhim nagri, hauz khas, new delhi, delhi 110016, india",28.5543667802915,28.5516688197085,77.2029184802915,77.2002205197085
"31","Centre for Environment and Energy Development (CEED) ","Non Profit, Public Engagement & Awareness","Patna/Delhi","http://ceedindia.org/","https://twitter.com/CEED_India","","","","9/1/2020 3:11pm","Centre for Environment and Energy Development (CEED)  , Patna/Delhi",85.115465,25.6116042,"establishment","geometric_center","b/194, sri krishna puri, patna, bihar 800001, india",25.6129531802915,25.6102552197085,85.1168139802915,85.1141160197085
"32","Centre for Environment Education (CEE)","Public Engagement & Awareness, Education","Pune","https://www.ceeindia.org/#","","","Sanskriti Menon","","9/1/2020 3:10pm","Centre for Environment Education (CEE) , Pune",73.8000637,18.5639467,"establishment","geometric_center","1 pinewood apartment, vidhate colony, wireless colony, aundh, oriental gold society, aundh, pune, maharashtra 411067, india",18.5652956802915,18.5625977197085,73.8014126802915,73.7987147197085
"33","Centre for Policy Research  (CPR)","Policy, Research","Delhi","http://www.cprindia.org","https://twitter.com/cpr_india","https://www.facebook.com/CentreforPolicyResearch/?ref=bookmarks","Santosh Harish, Mandakini Chandra","","9/1/2020 3:12pm","Centre for Policy Research  (CPR) , Delhi",77.188806,28.6027835,"establishment","geometric_center","dharam marg, near ndmc hospital, block c, diplomatic enclave, malcha, new delhi, delhi 110021, india",28.6041324802915,28.6014345197085,77.1901549802915,77.1874570197085
"34","Centre for Science and Environment (CSE)","Non Profit","Delhi","http://www.cseindia.org/","https://twitter.com/cseindia?lang=en","","","","9/1/2020 3:11pm","Centre for Science and Environment (CSE) , Delhi",77.243823,28.514075,"establishment","rooftop","41, tughlakabad institutional area, vayusenabad, new delhi, delhi 110062, india",28.5154239802915,28.5127260197085,77.2451719802915,77.2424740197085
"35","Chakr Innovation Pvt Ltd","Industry, Start-up","Gurugram","https://chakr.in/","https://twitter.com/ChakrInnovation","https://www.facebook.com/chakrinnovation/","","","9/1/2020 3:14pm","Chakr Innovation Pvt Ltd , Gurugram",77.0919027,28.4829256,"establishment","rooftop","j-1/37, j-1, heritage city, sector 25, gurugram, haryana 122002, india",28.4842745802915,28.4815766197085,77.0932516802915,77.0905537197085
"36","Chest Research Foundation (CRF) ","Research","Pune","http://www.crfindia.com/CommonCMS/Home.aspx","","","Sundeep Salvi","","9/1/2020 3:11pm","Chest Research Foundation (CRF)  , Pune",73.9070819,18.5426876,"establishment","geometric_center","survey no. 15, marigold premises, behind carnival cinema, marigold complex, kalyani nagar, pune, maharashtra 411014, india",18.5440365802915,18.5413386197085,73.9084308802915,73.9057329197085
"37","Children's Investment Fund Foundation (CIFF) ","International, Foundation","Delhi","https://ciff.org/","https://twitter.com/ciffchild","https://www.facebook.com/ciffglobal","","","9/1/2020 3:11pm","Children's Investment Fund Foundation (CIFF)  , Delhi",77.190591,28.524557,"establishment","geometric_center","the crescent, level 3, chatri wala kuan, lado sarai, new delhi, delhi 110030, india",28.5259059802915,28.5232080197085,77.1919399802915,77.1892420197085
"38","Chintan","Advocacy, Policy, Non Profit","Delhi","http://www.chintan-india.org","https://twitter.com/ChintanIndia","","","","9/1/2020 3:11pm","Chintan , Delhi",77.23846,28.567625,"establishment","geometric_center","c-14, second floor, block c, lajpat nagar iii, lajpat nagar, block c, lajpat nagar iii, lajpat nagar, new delhi, delhi 110024, india",28.5689739802915,28.5662760197085,77.2398089802915,77.2371110197085
"39","Citizen consumer and civic Action Group (CAG) ","Advocacy, Non Profit","Chennai","https://www.cag.org.in/","https://twitter.com/cagchennai","https://www.facebook.com/CAGChennai","Niraj Bhatt","","9/1/2020 3:09pm","Citizen consumer and civic Action Group (CAG)  , Chennai",80.2571965,13.0427126,"establishment","geometric_center","new #246 (old #277b), ttk road (j.j. road ), alwarpet, teynampet, chennai, tamil nadu 600018, india",13.0440615802915,13.0413636197085,80.2585454802915,80.2558475197085
"40","Clarity ","Industry, Start-up","","https://clarity.io/","https://twitter.com/JoinClarity","https://www.facebook.com/claritymovement/","Sean Wihera ","","8/30/2019 10:48pm","Clarity  , ",-85.8962654,39.2064391,"establishment","rooftop","2420 e, 7th st, columbus, in 47201, usa",39.2077880802915,39.2050901197085,-85.8949164197085,-85.8976143802915
"41","Clean Air Asia- India ","Non Profit","Delhi","https://cleanairasia.org/india/","https://twitter.com/cleanairasia","","","","9/1/2020 3:11pm","Clean Air Asia- India  , Delhi",77.204624,28.559397,"establishment","rooftop","basement c, 3, green park ext rd, block b, green park extension, green park, new delhi, delhi 110016, india",28.5607459802915,28.5580480197085,77.2059729802915,77.2032750197085
"42","Clean Air Fund (CAF)","Funder","Delhi","","","","Reecha Upadhyay","","9/1/2020 3:11pm","Clean Air Fund (CAF) , Delhi",77.1024902,28.7040592,"administrative_area_level_1","approximate","delhi, india",28.881338,28.412593,77.3484578,76.838069
"43","Clean Air Platform Bengaluru ","Funder","","https://cleanairplatform.org/","https://twitter.com/cleanairplatfrm","https://www.facebook.com/Clean-Air-Platform-288214088532029/","","checked","9/1/2020 3:11pm","Clean Air Platform Bengaluru  , ",77.6852951,12.9156269,"establishment","geometric_center","kaikondrahalli, bengaluru, karnataka 560035, india",12.9169758802915,12.9142779197085,77.6866440802915,77.6839461197085
"44","Climate and Clean Air Coalition (CCAC)","International","Global","https://ccacoalition.org/en","https://twitter.com/ccacoalition","https://www.facebook.com/ccacoalition","","","9/1/2020 3:11pm","Climate and Clean Air Coalition (CCAC) , Global",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Climate Trends","Communication, Media","","https://carboncopy.info/","https://twitter.com/CarbonCopyInfo","https://www.facebook.com/CarbonCopyInfo/","Aarti Khosla","","8/28/2019 11:48pm","Climate Trends , ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","ClimateWorks Foundation","Funder","USA","","","","","","9/1/2020 3:15pm","ClimateWorks Foundation , USA",-122.4027013,37.7914391,"establishment","rooftop","235 montgomery st #1300, san francisco, ca 94104, usa",37.7927880802915,37.7900901197085,-122.401352319708,-122.404050280292
"47","Collaborative Clean Air Policy Centre (CCAPC)","Policy, Research","Delhi","https://ccapc.org.in/about/","https://twitter.com/ccapc_org","","Santosh Harish","","9/1/2020 3:11pm","Collaborative Clean Air Policy Centre (CCAPC) , Delhi",77.1024902,28.7040592,"administrative_area_level_1","approximate","delhi, india",28.881338,28.412593,77.3484578,76.838069
"48","Conservation Action Trust (CAT)","Advocacy, Non Profit","Mumbai","","","","Debi Goenka","","9/1/2020 3:15pm","Conservation Action Trust (CAT) , Mumbai",72.894476,19.086282,"establishment","geometric_center","5, sahakar bhavan, 1st floor, lbs road, narayan nagar, ghatkopar west, next to mahindra park, chirag nagar, ghatkopar west, mumbai, maharashtra 400086, india",19.0876309802915,19.0849330197085,72.8958249802915,72.8931270197085
"49","Council on Energy, Environment and Water (CEEW)","Non Profit, Policy","Delhi","http://ceew.in","https://twitter.com/CEEWIndia","https://www.facebook.com/CEEWIndia/","Tanushree Ganguly, Karthi Ganesan, Kurinji ","","9/1/2020 3:11pm","Council on Energy, Environment and Water (CEEW) , Delhi",77.1776434,28.5434754,"establishment","geometric_center","qutab institutional area road, aruna asaf ali marg, block a, qutab institutional area, new delhi, delhi 110016, india",28.5448243802915,28.5421264197085,77.1789923802915,77.1762944197085
"50","Envecologic","","Delhi","","","","","","9/1/2020 3:16pm","Envecologic , Delhi",77.1024902,28.7040592,"administrative_area_level_1","approximate","delhi, india",28.881338,28.412593,77.3484578,76.838069
"51","Environment Law and Development Foundation (ELDF) ","Legal","Delhi","https://www.eldfindia.org/","https://twitter.com/eldfindia","https://www.facebook.com/ELDFoundation/","","","9/1/2020 3:11pm","Environment Law and Development Foundation (ELDF)  , Delhi",77.2496755,28.5877304,"establishment","rooftop","president's estate, 29, jaipur estata, nizamuddin east, new delhi, delhi 110013, india",28.5890793802915,28.5863814197085,77.2510244802915,77.2483265197085
"52","Environmental Defense Fund (EDF)","International","Delhi","https://www.edf.org/","https://twitter.com/EnvDefenseFund","https://www.facebook.com/EnvDefenseFund","","","9/1/2020 3:27pm","Environmental Defense Fund (EDF) , Delhi",77.1024902,28.7040592,"administrative_area_level_1","approximate","delhi, india",28.881338,28.412593,77.3484578,76.838069
"53","Envirotech","Industry","","http://www.envirotechindia.com/","","","","","","Envirotech , ",-97.165896,32.917867,"establishment","rooftop","7600 jefferson cir, colleyville, tx 76034, usa",32.9192159802915,32.9165180197085,-97.1645470197085,-97.1672449802915
"54","GATI Foundation","Advocacy, Public Engagement & Awareness, Policy","Dehradun","","","","","","9/1/2020 3:27pm","GATI Foundation , Dehradun",77.9808585,30.2727204,"establishment","geometric_center","gati kintetsu express pvt. ltd khasra no- 2353 & 2357 arcadia grant near mobhewala industrial, mohabbewala, dehradun, uttarakhand 248001, india",30.2740693802915,30.2713714197085,77.9822074802915,77.9795095197085
"55","GCCA","","Kolkata","","","","","","9/1/2020 3:17pm","GCCA , Kolkata",88.363895,22.572646,"locality","approximate","kolkata, west bengal, india",23.0083628,22.3436288,88.5428696,88.1165879
"56","Green Planet Society","","Chandrapur","","","","","","9/1/2020 3:17pm","Green Planet Society , Chandrapur",79.2961468,19.9615398,"locality","approximate","chandrapur, maharashtra, india",20.0344833,19.8977043,79.3359661,79.2151165
"57","Greenpeace","Non Profit, Public Engagement & Awareness","","http://www.greenpeace.org/india/en/","https://twitter.com/greenpeaceindia","","","","8/17/2019 2:35am","Greenpeace , ",-77.0222213,38.8996227,"establishment","rooftop","702 h st nw #300, washington, dc 20001, usa",38.9009716802915,38.8982737197085,-77.0208723197085,-77.0235702802915
"58","Greentech Knowledge Solutions Pvt. Ltd.","Industry","","https://www.gkspl.in/","","","","","8/28/2019 1:53am","Greentech Knowledge Solutions Pvt. Ltd. , ",77.0465253,28.5954014,"establishment","geometric_center","197, indraprastha apartment, pocket 3, sector 12 dwarka, dwarka, delhi, 110078, india",28.5967503802915,28.5940524197085,77.0478742802915,77.0451763197085
"59","GSCC","Communication","Delhi","","","","","","9/1/2020 3:02pm","GSCC , Delhi",77.1024902,28.7040592,"administrative_area_level_1","approximate","delhi, india",28.881338,28.412593,77.3484578,76.838069
"60","Haiyya","Advocacy, Public Engagement & Awareness","Delhi","","","","","","9/1/2020 3:03pm","Haiyya , Delhi",77.2050757,28.6706528,"establishment","geometric_center","3rd floor 3391, arya pura, subzi mandi, delhi, 110007, india",28.6720017802915,28.6693038197085,77.2064246802915,77.2037267197085
"61","HEAL","Advocacy","Bengaluru","","","","","","9/1/2020 3:02pm","HEAL , Bengaluru",77.5392164,12.9678331,"establishment","geometric_center","2260 4th a cross, 1st main rd, near vijayanagar club, hosahalli extension, vijayanagar, bengaluru, karnataka 560104, india",12.9691820802915,12.9664841197085,77.5405653802915,77.5378674197085
"62","Health Care Without Harm","","USA","","","","","","9/1/2020 3:17pm","Health Care Without Harm , USA",-77.3720065,38.9504904,"establishment","rooftop","12355 sunrise valley dr #680, reston, va 20191, usa",38.9518393802915,38.9491414197085,-77.3706575197085,-77.3733554802915
"63","Health Effects Institute (HEI)","International","USA","https://www.healtheffects.org/","","","","","9/1/2020 3:26pm","Health Effects Institute (HEI) , USA",-71.0568204,42.3549953,"establishment","rooftop","75 federal st #1400, boston, ma 02110, usa",42.3563442802915,42.3536463197085,-71.0554714197085,-71.0581693802915
"64","Health Energy Initiative","","Chennai","","","","","","9/1/2020 3:17pm","Health Energy Initiative , Chennai",80.2707184,13.0826802,"locality","approximate","chennai, tamil nadu, india",13.2611661,12.8338848,80.3363228,80.0817007
"65","Help Delhi Breathe ","Advocacy, Public Engagement & Awareness","Delhi","https://helpdelhibreathe.in","https://twitter.com/DelhiBreathe","https://www.facebook.com/DelhiPollutionSolution/","","","9/1/2020 3:26pm","Help Delhi Breathe  , Delhi",77.1024902,28.7040592,"administrative_area_level_1","approximate","delhi, india",28.881338,28.412593,77.3484578,76.838069
"66","Hindustan Times Air Quality Initiative ","Journalism","","http://airquality.hindustantimes.com/","","","","checked","9/1/2020 3:17pm","Hindustan Times Air Quality Initiative  , ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","ICIMOD  ","Policy, International","","http://www.icimod.org/","https://twitter.com/icimod","https://www.facebook.com/icimod","","","8/17/2019 1:52am","ICIMOD   , ",85.323476,27.64645,"establishment","geometric_center","lalitpur 44700, nepal",27.6477989802915,27.6451010197085,85.3248249802915,85.3221270197085
"68","IIT-Bombay","Government, Research","Mumbai","http://www.iitb.ac.in/","https://twitter.com/iitbombay","https://www.facebook.com/iitbombay","Chandra Venkataraman, Harish Phuleria","","9/1/2020 3:26pm","IIT-Bombay , Mumbai",72.9132679,19.1334302,"establishment","geometric_center","main gate rd, iit area, powai, mumbai, maharashtra 400076, india",19.1347791802915,19.1320812197085,72.9146168802915,72.9119189197085
"69","IIT-Delhi ","","Delhi","","","","Sagnik Dey, Gazala Habib, Mukesh Khare","","9/1/2020 3:26pm","IIT-Delhi  , Delhi",77.1922877,28.5454041,"establishment","geometric_center","iit campus, hauz khas, new delhi, delhi 110016, india",28.5467530802915,28.5440551197085,77.1936366802915,77.1909387197085
"70","IIT-Kanpur","Research","Kanpur","","","","Anubha Goel, SN Tripathi, Tarun Gupta, Mukesh Sharma","","9/1/2020 3:26pm","IIT-Kanpur , Kanpur",80.2329,26.5123388,"establishment","geometric_center","kalyanpur, kanpur, uttar pradesh 208016, india",26.5136877802915,26.5109898197085,80.2342489802915,80.2315510197085
"71","IIT-Madras","Research","Chennai","","","","SM Shiva Nagendra","","9/1/2020 3:26pm","IIT-Madras , Chennai",80.2336907,12.9914929,"establishment","geometric_center","indian institute of technology, chennai, tamil nadu 600036, india",12.9928418802915,12.9901439197085,80.2350396802915,80.2323417197085
"72","IIT-Tirupati","Research","Tirupati","","","","Suresh Jain","","9/1/2020 3:26pm","IIT-Tirupati , Tirupati",79.4750252,13.6299103,"establishment","geometric_center","tirupati – renigunta road, post, settipalli, tirupati, andhra pradesh 517506, india",13.6312592802915,13.6285613197085,79.4763741802915,79.4736762197085
"73","India Climate Collaborative ","Policy, Funder","Mumbai","https://indiaclimatecollaborative.org/","","","","","9/1/2020 3:18pm","India Climate Collaborative  , Mumbai",72.8776559,19.0759837,"locality","approximate","mumbai, maharashtra, india",19.2716339,18.8928676,72.9864994,72.7758729
"74","India Open Data Association (IODA)","Open data, Public Engagement & Awareness","","","","","","checked","9/1/2020 3:17pm","India Open Data Association (IODA) , ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","IndiaAQ Hub","Communication, Public Engagement & Awareness, Research, Open data","","https://indiaaq.blog/","https://twitter.com/airqualityindia","https://www.facebook.com/indiaaq/","Pallavi Pant","","9/1/2020 3:05pm","IndiaAQ Hub , ",77.3350848,28.5764969,"establishment","geometric_center","office no.3, lower basement, jaipuria palaza,, d-block, sector 26, noida, uttar pradesh 201301, india",28.5778458802915,28.5751479197085,77.3364337802915,77.3337358197085
"76","Indian Aerosol Science and Technology Association (IASTA)","Scientific Association","","","","https://www.facebook.com/pages/category/Organization/Indian-Aerosol-Science-Technology-Association-IASTA-310634475696057/","","","8/17/2019 2:21am","Indian Aerosol Science and Technology Association (IASTA) , ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Indian Association of Air Pollution Control ","","","http://www.iaapc.in/index.html","","","","","8/17/2019 2:19am","Indian Association of Air Pollution Control  , ",77.2904379,28.6564812,"establishment","geometric_center","cpcb, parivesh bhawan, east arjun nagar, arjun nagar, krishna nagar, new delhi, delhi 110032, india",28.6578301802915,28.6551322197085,77.2917868802915,77.2890889197085
"78","Indian Council of Medical Research (ICMR)","Government, Research","Delhi","https://www.icmr.nic.in/","https://twitter.com/ICMRDELHI","https://www.facebook.com/ICMROrganisation","R S Dhaliwal","","9/1/2020 3:26pm","Indian Council of Medical Research (ICMR) , Delhi",77.2114165,28.618027,"establishment","rooftop","1, red cross road, sansad marg area, new delhi, delhi 110001, india",28.6193759802915,28.6166780197085,77.2127654802915,77.2100675197085
"79","Indian Institute of Tropical Meteorology (IITM)","Government","Pune","http://www.tropmet.res.in/","https://twitter.com/iitmpune?lang=en","","","","9/1/2020 3:26pm","Indian Institute of Tropical Meteorology (IITM) , Pune",73.8054325,18.5373969,"establishment","geometric_center","dr homi bhabha rd, panchawati, pashan, pune, maharashtra 411008, india",18.5387458802915,18.5360479197085,73.8067814802915,73.8040835197085
"80","Indian Pollution Control Association","","","http://ipcaworld.co.in","","https://www.facebook.com/ipca123/","","","8/17/2019 2:23am","Indian Pollution Control Association , ",77.3011606,28.647397,"establishment","geometric_center","3-5, dda shopping complex, vikas marg ext, hargobind enclave, a g c r enclave, anand vihar, new delhi, delhi 110092, india",28.6487459802915,28.6460480197085,77.3025095802915,77.2998116197085
"81","Indian Public Health Association (IPHA)","Scientific Association","","https://www.iphaonline.org/","https://twitter.com/IPHA_HQ","https://www.facebook.com/Indian-Public-Health-Association-292696581096883/","","","8/29/2019 8:48pm","Indian Public Health Association (IPHA) , ",88.3598599,22.5756436,"establishment","rooftop","110, chittaranjan ave, calcutta university, tiretti, kolkata, west bengal 700073, india",22.5769925802915,22.5742946197085,88.3612088802915,88.3585109197085
"82","IndiaSpend Breathe [likely inactive]","Journalism","","","https://twitter.com/indiaspendair?lang=en","","","","8/17/2019 2:05am","IndiaSpend Breathe [likely inactive] , ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Indicus Foundation","Policy","Delhi","","","","","","9/1/2020 3:18pm","Indicus Foundation , Delhi",77.253402,28.5491335,"establishment","rooftop","awfis, 2nd floor, 70, the great eastern centre, nehru place, new delhi, delhi 110002, india",28.5504824802915,28.5477845197085,77.2547509802915,77.2520530197085
"84","Institute of Public Health (IPH)","Research","Bengaluru","http://iphindia.org","https://twitter.com/iphindia","https://www.facebook.com/iphindia","","checked","9/1/2020 3:26pm","Institute of Public Health (IPH) , Bengaluru",77.572706,12.9269556,"establishment","geometric_center","3009, ii-a main, 17th cross, krishna rajendra rd, siddanna layout, banashankari stage ii, banashankari, bengaluru, karnataka 560070, india",12.9283045802915,12.9256066197085,77.5740549802915,77.5713570197085
"85","Integrated Research and Action for Development (IRADe)","","Delhi","","","","","","9/1/2020 3:19pm","Integrated Research and Action for Development (IRADe) , Delhi",77.211563,28.53988,"establishment","rooftop","c-80, shivalik colony, malviya nagar, new delhi, delhi 110017, india",28.5412289802915,28.5385310197085,77.2129119802915,77.2102140197085
